,YY,MM,DD,hh,mm,WDIR,WSPD,ATMP,DEWP,VIS,Date
0,2021,12,21,20,0,300.0,3.6,15.0,10.0,8.7,2021-12-21 20:00:00
1,2021,12,21,19,55,300.0,3.6,15.0,10.0,8.7,2021-12-21 19:55:00
2,2021,12,21,19,35,300.0,3.1,15.0,10.0,8.7,2021-12-21 19:35:00
3,2021,12,21,19,15,300.0,4.1,16.0,10.0,8.7,2021-12-21 19:15:00
4,2021,12,21,18,55,300.0,3.1,16.0,10.0,8.7,2021-12-21 18:55:00
5,2021,12,21,18,35,300.0,2.6,16.0,10.0,8.7,2021-12-21 18:35:00
6,2021,12,21,18,15,300.0,3.6,16.0,11.0,8.7,2021-12-21 18:15:00
7,2021,12,21,17,55,310.0,3.6,16.0,11.0,8.7,2021-12-21 17:55:00
8,2021,12,21,17,35,310.0,2.6,15.0,11.0,8.7,2021-12-21 17:35:00
9,2021,12,21,17,15,300.0,3.6,15.0,12.0,8.7,2021-12-21 17:15:00
10,2021,12,21,16,55,310.0,4.1,15.0,12.0,1.7,2021-12-21 16:55:00
11,2021,12,21,16,35,310.0,3.1,16.0,12.0,8.7,2021-12-21 16:35:00
12,2021,12,21,16,15,310.0,3.6,16.0,12.0,8.7,2021-12-21 16:15:00
13,2021,12,21,15,55,310.0,3.6,16.0,12.0,8.7,2021-12-21 15:55:00
14,2021,12,21,15,35,310.0,3.1,16.0,12.0,8.7,2021-12-21 15:35:00
15,2021,12,21,15,15,310.0,2.6,15.0,13.0,4.3,2021-12-21 15:15:00
16,2021,12,21,14,55,310.0,2.6,16.0,13.0,7.0,2021-12-21 14:55:00
17,2021,12,21,14,35,310.0,2.6,16.0,13.0,6.1,2021-12-21 14:35:00
18,2021,12,21,14,15,300.0,6.2,16.0,13.0,7.0,2021-12-21 14:15:00
19,2021,12,21,13,55,310.0,6.7,16.0,14.0,4.3,2021-12-21 13:55:00
20,2021,12,21,13,35,310.0,3.1,15.0,13.0,2.2,2021-12-21 13:35:00
21,2021,12,21,13,15,310.0,4.1,16.0,13.0,6.1,2021-12-21 13:15:00
22,2021,12,21,12,55,310.0,1.5,16.0,14.0,3.5,2021-12-21 12:55:00
23,2021,12,21,12,35,310.0,2.1,16.0,14.0,7.0,2021-12-21 12:35:00
24,2021,12,21,12,15,310.0,2.6,16.0,14.0,5.2,2021-12-21 12:15:00
25,2021,12,21,11,55,310.0,2.1,17.0,14.0,3.5,2021-12-21 11:55:00
26,2021,12,21,11,35,310.0,2.1,17.0,14.0,8.7,2021-12-21 11:35:00
27,2021,12,21,11,15,0.0,2.1,17.0,14.0,8.7,2021-12-21 11:15:00
28,2021,12,21,10,55,0.0,2.6,17.0,15.0,8.7,2021-12-21 10:55:00
29,2021,12,21,10,35,0.0,2.1,18.0,15.0,8.7,2021-12-21 10:35:00
30,2021,12,21,10,15,0.0,3.1,18.0,15.0,7.8,2021-12-21 10:15:00
31,2021,12,21,9,55,0.0,2.6,18.0,15.0,8.7,2021-12-21 09:55:00
32,2021,12,21,9,35,0.0,3.1,18.0,15.0,8.7,2021-12-21 09:35:00
33,2021,12,21,9,15,0.0,3.1,18.0,16.0,8.7,2021-12-21 09:15:00
34,2021,12,21,8,55,340.0,3.6,18.0,16.0,6.1,2021-12-21 08:55:00
35,2021,12,21,8,35,340.0,2.1,18.0,16.0,2.6,2021-12-21 08:35:00
36,2021,12,21,8,15,340.0,3.1,18.0,16.0,8.7,2021-12-21 08:15:00
37,2021,12,21,7,55,340.0,2.6,18.0,16.0,7.0,2021-12-21 07:55:00
38,2021,12,21,7,35,340.0,2.6,18.0,16.0,8.7,2021-12-21 07:35:00
39,2021,12,21,7,15,340.0,2.6,18.0,16.0,7.8,2021-12-21 07:15:00
40,2021,12,21,6,55,30.0,9.8,18.0,16.0,8.7,2021-12-21 06:55:00
41,2021,12,21,6,35,20.0,8.8,17.0,16.0,8.7,2021-12-21 06:35:00
42,2021,12,21,6,15,20.0,8.8,18.0,16.0,1.7,2021-12-21 06:15:00
43,2021,12,21,5,55,30.0,8.2,18.0,16.0,1.1,2021-12-21 05:55:00
44,2021,12,21,5,35,20.0,10.8,18.0,16.0,1.3,2021-12-21 05:35:00
45,2021,12,21,5,15,20.0,2.6,18.0,16.0,1.7,2021-12-21 05:15:00
46,2021,12,21,4,55,20.0,7.7,18.0,16.0,1.7,2021-12-21 04:55:00
47,2021,12,21,4,35,20.0,7.7,18.0,16.0,1.7,2021-12-21 04:35:00
48,2021,12,21,4,15,20.0,7.7,18.0,15.0,4.3,2021-12-21 04:15:00
49,2021,12,21,3,55,30.0,6.2,19.0,15.0,6.1,2021-12-21 03:55:00
50,2021,12,21,3,35,30.0,8.2,19.0,14.0,8.7,2021-12-21 03:35:00
51,2021,12,21,3,15,30.0,8.2,19.0,14.0,8.7,2021-12-21 03:15:00
52,2021,12,21,2,55,30.0,7.2,18.0,13.0,8.7,2021-12-21 02:55:00
53,2021,12,21,2,35,50.0,7.7,18.0,13.0,8.7,2021-12-21 02:35:00
54,2021,12,21,2,15,50.0,6.7,18.0,14.0,8.7,2021-12-21 02:15:00
55,2021,12,21,1,55,50.0,10.3,18.0,13.0,8.7,2021-12-21 01:55:00
56,2021,12,21,1,35,50.0,8.2,18.0,13.0,8.7,2021-12-21 01:35:00
57,2021,12,21,1,15,60.0,11.8,18.0,14.0,8.7,2021-12-21 01:15:00
58,2021,12,21,0,55,60.0,12.4,17.0,14.0,8.7,2021-12-21 00:55:00
59,2021,12,21,0,35,60.0,13.4,17.0,13.0,2.6,2021-12-21 00:35:00
60,2021,12,21,0,15,50.0,10.8,17.0,14.0,8.7,2021-12-21 00:15:00
61,2021,12,20,23,55,60.0,12.4,17.0,13.0,8.7,2021-12-20 23:55:00
62,2021,12,20,23,35,50.0,8.8,17.0,14.0,4.3,2021-12-20 23:35:00
63,2021,12,20,23,15,50.0,8.8,16.0,13.0,8.7,2021-12-20 23:15:00
64,2021,12,20,22,55,60.0,11.8,16.0,12.0,2.6,2021-12-20 22:55:00
65,2021,12,20,22,35,60.0,10.3,16.0,13.0,2.2,2021-12-20 22:35:00
66,2021,12,20,22,15,70.0,10.8,16.0,13.0,2.2,2021-12-20 22:15:00
67,2021,12,20,21,55,60.0,9.8,16.0,13.0,1.7,2021-12-20 21:55:00
68,2021,12,20,21,35,50.0,7.7,16.0,13.0,2.6,2021-12-20 21:35:00
69,2021,12,20,21,15,40.0,6.7,16.0,13.0,2.6,2021-12-20 21:15:00
70,2021,12,20,20,55,40.0,5.7,16.0,12.0,7.0,2021-12-20 20:55:00
71,2021,12,20,20,35,30.0,6.7,16.0,13.0,1.7,2021-12-20 20:35:00
72,2021,12,20,20,15,50.0,6.7,16.0,13.0,3.5,2021-12-20 20:15:00
73,2021,12,20,19,55,30.0,6.7,16.0,13.0,6.1,2021-12-20 19:55:00
74,2021,12,20,19,35,20.0,8.8,16.0,12.0,8.7,2021-12-20 19:35:00
75,2021,12,20,19,15,30.0,9.3,16.0,14.0,7.0,2021-12-20 19:15:00
76,2021,12,20,18,55,30.0,5.1,16.0,13.0,4.3,2021-12-20 18:55:00
77,2021,12,20,18,35,30.0,4.1,16.0,13.0,2.2,2021-12-20 18:35:00
