,YY,MM,DD,hh,mm,WDIR,WSPD,ATMP,DEWP,VIS,Date
0,2022,1,29,2,15,360.0,15.4,11,-3,8.7,2022-01-29 02:15:00
1,2022,1,29,1,50,10.0,13.9,12,-2,8.7,2022-01-29 01:50:00
2,2022,1,29,1,35,340.0,13.9,12,-1,8.7,2022-01-29 01:35:00
3,2022,1,29,1,15,350.0,15.4,12,-1,8.7,2022-01-29 01:15:00
4,2022,1,29,0,55,360.0,14.4,12,-1,8.7,2022-01-29 00:55:00
5,2022,1,29,0,35,350.0,15.4,13,0,8.7,2022-01-29 00:35:00
6,2022,1,29,0,15,340.0,14.9,12,-2,8.7,2022-01-29 00:15:00
7,2022,1,28,23,55,330.0,11.3,12,3,8.7,2022-01-28 23:55:00
8,2022,1,28,23,35,330.0,11.3,12,3,0.4,2022-01-28 23:35:00
9,2022,1,28,23,15,320.0,9.8,11,3,0.2,2022-01-28 23:15:00
10,2022,1,28,22,55,320.0,10.3,11,3,8.7,2022-01-28 22:55:00
11,2022,1,28,22,35,330.0,10.8,11,2,8.7,2022-01-28 22:35:00
12,2022,1,28,22,15,340.0,11.3,11,2,8.7,2022-01-28 22:15:00
13,2022,1,28,21,55,340.0,11.8,10,2,8.7,2022-01-28 21:55:00
14,2022,1,28,21,35,340.0,12.9,10,3,8.7,2022-01-28 21:35:00
15,2022,1,28,21,15,350.0,12.4,10,2,8.7,2022-01-28 21:15:00
16,2022,1,28,20,55,340.0,12.4,10,2,8.7,2022-01-28 20:55:00
17,2022,1,28,20,35,350.0,12.4,10,2,8.7,2022-01-28 20:35:00
18,2022,1,28,20,10,350.0,12.9,10,2,8.7,2022-01-28 20:10:00
19,2022,1,28,19,55,340.0,12.9,10,2,8.7,2022-01-28 19:55:00
20,2022,1,28,19,35,350.0,13.4,10,3,8.7,2022-01-28 19:35:00
21,2022,1,28,19,15,340.0,11.3,10,3,8.7,2022-01-28 19:15:00
22,2022,1,28,18,55,340.0,11.8,10,3,8.7,2022-01-28 18:55:00
23,2022,1,28,18,35,340.0,12.9,10,3,8.7,2022-01-28 18:35:00
24,2022,1,28,18,15,350.0,11.3,10,3,8.7,2022-01-28 18:15:00
25,2022,1,28,17,55,350.0,11.8,10,2,8.7,2022-01-28 17:55:00
26,2022,1,28,17,35,360.0,12.9,10,1,8.7,2022-01-28 17:35:00
27,2022,1,28,17,15,10.0,12.4,10,2,8.7,2022-01-28 17:15:00
28,2022,1,28,16,55,360.0,12.9,10,2,8.7,2022-01-28 16:55:00
29,2022,1,28,16,35,360.0,12.9,11,2,8.7,2022-01-28 16:35:00
30,2022,1,28,16,15,10.0,10.8,11,3,8.7,2022-01-28 16:15:00
31,2022,1,28,15,55,10.0,12.4,11,3,8.7,2022-01-28 15:55:00
32,2022,1,28,15,35,10.0,12.9,10,3,8.7,2022-01-28 15:35:00
33,2022,1,28,15,15,360.0,12.9,11,3,8.7,2022-01-28 15:15:00
34,2022,1,28,14,55,350.0,10.8,11,3,8.7,2022-01-28 14:55:00
35,2022,1,28,14,30,360.0,11.3,11,3,8.7,2022-01-28 14:30:00
36,2022,1,28,14,15,360.0,11.3,11,3,8.7,2022-01-28 14:15:00
37,2022,1,28,13,55,340.0,10.8,11,4,8.7,2022-01-28 13:55:00
38,2022,1,28,13,35,350.0,10.3,11,4,8.7,2022-01-28 13:35:00
39,2022,1,28,13,15,350.0,10.8,12,5,8.7,2022-01-28 13:15:00
40,2022,1,28,12,55,360.0,10.8,11,4,8.7,2022-01-28 12:55:00
41,2022,1,28,12,35,350.0,11.3,12,5,8.7,2022-01-28 12:35:00
42,2022,1,28,12,15,350.0,9.8,12,5,8.7,2022-01-28 12:15:00
43,2022,1,28,11,55,350.0,9.8,12,5,8.7,2022-01-28 11:55:00
44,2022,1,28,11,35,350.0,10.3,13,6,8.7,2022-01-28 11:35:00
45,2022,1,28,11,15,350.0,10.8,12,6,8.7,2022-01-28 11:15:00
46,2022,1,28,10,55,350.0,9.8,13,7,8.7,2022-01-28 10:55:00
47,2022,1,28,10,35,350.0,9.3,13,6,8.7,2022-01-28 10:35:00
48,2022,1,28,10,15,350.0,8.2,13,7,8.7,2022-01-28 10:15:00
49,2022,1,28,9,55,350.0,8.2,13,7,8.7,2022-01-28 09:55:00
50,2022,1,28,9,35,350.0,7.7,13,7,8.7,2022-01-28 09:35:00
51,2022,1,28,9,15,340.0,8.8,13,7,8.7,2022-01-28 09:15:00
52,2022,1,28,8,50,330.0,6.7,13,8,8.7,2022-01-28 08:50:00
53,2022,1,28,8,35,320.0,7.2,13,7,8.7,2022-01-28 08:35:00
54,2022,1,28,8,15,320.0,8.2,14,7,8.7,2022-01-28 08:15:00
55,2022,1,28,7,55,320.0,8.2,14,7,8.7,2022-01-28 07:55:00
56,2022,1,28,7,35,330.0,6.7,14,6,8.7,2022-01-28 07:35:00
57,2022,1,28,7,15,330.0,8.2,14,4,8.7,2022-01-28 07:15:00
58,2022,1,28,6,55,340.0,7.7,14,5,8.7,2022-01-28 06:55:00
59,2022,1,28,6,35,330.0,7.7,15,5,8.7,2022-01-28 06:35:00
60,2022,1,28,6,15,330.0,7.7,15,8,8.7,2022-01-28 06:15:00
61,2022,1,28,5,55,330.0,5.1,16,9,8.7,2022-01-28 05:55:00
62,2022,1,28,5,35,340.0,4.1,16,9,8.7,2022-01-28 05:35:00
63,2022,1,28,5,15,340.0,4.6,16,9,8.7,2022-01-28 05:15:00
64,2022,1,28,4,55,360.0,4.1,16,9,8.7,2022-01-28 04:55:00
65,2022,1,28,4,35,10.0,4.1,16,9,8.7,2022-01-28 04:35:00
66,2022,1,28,4,15,360.0,3.1,16,10,8.7,2022-01-28 04:15:00
67,2022,1,28,3,55,20.0,3.6,16,10,8.7,2022-01-28 03:55:00
68,2022,1,28,3,35,20.0,4.1,16,10,8.7,2022-01-28 03:35:00
69,2022,1,28,3,10,40.0,4.6,16,10,8.7,2022-01-28 03:10:00
70,2022,1,28,2,55,30.0,5.1,16,10,8.7,2022-01-28 02:55:00
71,2022,1,28,2,35,40.0,5.7,16,10,8.7,2022-01-28 02:35:00
72,2022,1,28,2,15,20.0,5.1,16,10,8.7,2022-01-28 02:15:00
73,2022,1,28,1,55,30.0,4.1,16,11,8.7,2022-01-28 01:55:00
74,2022,1,28,1,35,30.0,4.6,16,11,8.7,2022-01-28 01:35:00
75,2022,1,28,1,15,40.0,2.6,16,11,8.7,2022-01-28 01:15:00
76,2022,1,28,0,55,40.0,3.6,16,11,8.7,2022-01-28 00:55:00
77,2022,1,28,0,35,40.0,4.6,16,11,8.7,2022-01-28 00:35:00
78,2022,1,28,0,15,70.0,4.1,16,11,8.7,2022-01-28 00:15:00
79,2022,1,27,23,55,60.0,3.6,16,11,8.7,2022-01-27 23:55:00
80,2022,1,27,23,35,60.0,2.6,16,10,7.8,2022-01-27 23:35:00
81,2022,1,27,23,15,70.0,4.6,16,10,6.1,2022-01-27 23:15:00
82,2022,1,27,22,55,70.0,4.6,17,10,8.7,2022-01-27 22:55:00
83,2022,1,27,22,35,60.0,5.7,17,10,8.7,2022-01-27 22:35:00
84,2022,1,27,22,15,70.0,6.2,17,9,8.7,2022-01-27 22:15:00
85,2022,1,27,21,55,60.0,4.6,17,9,8.7,2022-01-27 21:55:00
86,2022,1,27,21,30,50.0,3.1,17,8,8.7,2022-01-27 21:30:00
87,2022,1,27,21,15,50.0,4.1,17,9,8.7,2022-01-27 21:15:00
88,2022,1,27,20,55,60.0,3.1,17,8,8.7,2022-01-27 20:55:00
89,2022,1,27,20,35,60.0,4.6,17,10,8.7,2022-01-27 20:35:00
90,2022,1,27,20,10,70.0,3.6,16,11,8.7,2022-01-27 20:10:00
91,2022,1,27,19,55,70.0,2.1,17,11,8.7,2022-01-27 19:55:00
92,2022,1,27,19,35,70.0,4.1,17,12,8.7,2022-01-27 19:35:00
93,2022,1,27,19,15,80.0,3.6,17,12,8.7,2022-01-27 19:15:00
94,2022,1,27,18,55,80.0,3.6,16,12,8.7,2022-01-27 18:55:00
95,2022,1,27,18,35,80.0,3.1,16,12,8.7,2022-01-27 18:35:00
96,2022,1,27,18,15,80.0,4.6,16,11,8.7,2022-01-27 18:15:00
97,2022,1,27,17,55,80.0,5.7,16,11,8.7,2022-01-27 17:55:00
98,2022,1,27,17,35,70.0,7.7,15,11,8.7,2022-01-27 17:35:00
99,2022,1,27,17,15,80.0,6.7,15,11,8.7,2022-01-27 17:15:00
100,2022,1,27,16,55,80.0,7.7,15,11,8.7,2022-01-27 16:55:00
101,2022,1,27,16,35,70.0,8.2,15,10,8.7,2022-01-27 16:35:00
102,2022,1,27,16,15,70.0,7.2,15,10,8.7,2022-01-27 16:15:00
103,2022,1,27,15,50,70.0,6.2,15,10,8.7,2022-01-27 15:50:00
104,2022,1,27,15,35,80.0,5.7,15,10,8.7,2022-01-27 15:35:00
105,2022,1,27,15,15,70.0,6.2,15,10,8.7,2022-01-27 15:15:00
106,2022,1,27,14,55,70.0,6.2,15,9,8.7,2022-01-27 14:55:00
107,2022,1,27,14,35,70.0,6.7,15,9,8.7,2022-01-27 14:35:00
108,2022,1,27,14,15,70.0,6.2,15,9,8.7,2022-01-27 14:15:00
