,YY,MM,DD,hh,mm,WDIR,WSPD,ATMP,DEWP,VIS,Date,Any Interpolated
3243,6556125.0,12.0,15.0,0.0,15.0,120.0,5.1,22.0,19.0,8.7,2021-12-15 00:15:00,Original Data
3242,6556125.0,12.0,15.0,0.0,35.0,120.0,6.2,22.0,19.0,8.7,2021-12-15 00:35:00,Original Data
3241,6554104.0,12.0,15.0,0.0,55.0,100.0,7.2,22.0,19.0,8.7,2021-12-15 00:55:00,Original Data
3240,6552083.0,12.0,15.0,1.0,15.0,110.0,8.2,22.0,19.0,8.7,2021-12-15 01:15:00,Original Data
3239,6550062.0,12.0,15.0,1.0,35.0,120.0,7.7,22.0,19.0,8.7,2021-12-15 01:35:00,Original Data
3238,6548041.0,12.0,15.0,1.0,55.0,110.0,8.2,22.0,19.0,8.7,2021-12-15 01:55:00,Original Data
3237,6546020.0,12.0,15.0,2.0,15.0,120.0,9.3,22.0,18.0,8.7,2021-12-15 02:15:00,Original Data
3236,6543999.0,12.0,15.0,2.0,35.0,110.0,8.2,22.0,18.0,8.7,2021-12-15 02:35:00,Original Data
3235,6541978.0,12.0,15.0,2.0,55.0,110.0,8.2,22.0,18.0,8.7,2021-12-15 02:55:00,Original Data
3234,6539957.0,12.0,15.0,3.0,15.0,110.0,8.8,22.0,18.0,8.7,2021-12-15 03:15:00,Original Data
3233,6537936.0,12.0,15.0,3.0,35.0,120.0,8.2,22.0,18.0,8.7,2021-12-15 03:35:00,Original Data
3232,6535915.0,12.0,15.0,3.0,55.0,120.0,8.2,22.0,17.0,8.7,2021-12-15 03:55:00,Original Data
3231,6533894.0,12.0,15.0,4.0,15.0,110.0,8.2,22.0,17.0,8.7,2021-12-15 04:15:00,Original Data
3230,6531873.0,12.0,15.0,4.0,35.0,120.0,7.2,22.0,17.0,8.7,2021-12-15 04:35:00,Original Data
3229,6529852.0,12.0,15.0,4.0,55.0,110.0,7.2,22.0,17.0,8.7,2021-12-15 04:55:00,Original Data
3228,6527831.0,12.0,15.0,5.0,15.0,110.0,7.2,22.0,17.0,8.7,2021-12-15 05:15:00,Original Data
3227,6525810.0,12.0,15.0,5.0,35.0,110.0,6.7,21.0,17.0,8.7,2021-12-15 05:35:00,Original Data
3226,6523789.0,12.0,15.0,5.0,55.0,110.0,6.7,21.0,17.0,8.7,2021-12-15 05:55:00,Original Data
3225,6521768.0,12.0,15.0,6.0,15.0,110.0,7.7,21.0,17.0,8.7,2021-12-15 06:15:00,Original Data
3224,6519747.0,12.0,15.0,6.0,35.0,120.0,7.2,21.0,17.0,8.7,2021-12-15 06:35:00,Original Data
3223,6517726.0,12.0,15.0,6.0,55.0,120.0,7.2,21.0,17.0,8.7,2021-12-15 06:55:00,Original Data
3222,6515705.0,12.0,15.0,7.0,15.0,130.0,4.6,21.0,17.0,8.7,2021-12-15 07:15:00,Original Data
3221,6513684.0,12.0,15.0,7.0,35.0,120.0,7.2,21.0,17.0,8.7,2021-12-15 07:35:00,Original Data
3220,6511663.0,12.0,15.0,7.0,55.0,120.0,6.2,21.0,17.0,8.7,2021-12-15 07:55:00,Original Data
