"YY","MM","DD","hh","mm","WDIR","WSPD","GST","WVHT","DPD","APD","MWD","PRES","ATMP","WTMP","DEWP","VIS","PTDY","TIDE","Date"
2021,12,21,20,0,300,3.6,10.3,NA,NA,NA,NA,NA,15,NA,10,8.7,NA,NA,2021-12-21 20:00:00
2021,12,21,19,55,300,3.6,9.3,NA,NA,NA,NA,NA,15,NA,10,8.7,NA,NA,2021-12-21 19:55:00
2021,12,21,19,35,NA,3.1,6.2,NA,NA,NA,NA,NA,15,NA,10,8.7,NA,NA,2021-12-21 19:35:00
2021,12,21,19,15,300,4.1,8.8,NA,NA,NA,NA,NA,16,NA,10,8.7,NA,NA,2021-12-21 19:15:00
2021,12,21,18,55,NA,3.1,8.8,NA,NA,NA,NA,NA,16,NA,10,8.7,NA,NA,2021-12-21 18:55:00
2021,12,21,18,35,NA,2.6,7.2,NA,NA,NA,NA,NA,16,NA,10,8.7,NA,NA,2021-12-21 18:35:00
2021,12,21,18,15,300,3.6,8.2,NA,NA,NA,NA,NA,16,NA,11,8.7,NA,NA,2021-12-21 18:15:00
2021,12,21,17,55,310,3.6,8.2,NA,NA,NA,NA,NA,16,NA,11,8.7,NA,NA,2021-12-21 17:55:00
2021,12,21,17,35,NA,2.6,8.8,NA,NA,NA,NA,NA,15,NA,11,8.7,NA,NA,2021-12-21 17:35:00
2021,12,21,17,15,300,3.6,7.2,NA,NA,NA,NA,NA,15,NA,12,8.7,NA,NA,2021-12-21 17:15:00
2021,12,21,16,55,310,4.1,6.7,NA,NA,NA,NA,NA,15,NA,12,1.7,NA,NA,2021-12-21 16:55:00
2021,12,21,16,35,NA,3.1,8.2,NA,NA,NA,NA,NA,16,NA,12,8.7,NA,NA,2021-12-21 16:35:00
2021,12,21,16,15,310,3.6,NA,NA,NA,NA,NA,NA,16,NA,12,8.7,NA,NA,2021-12-21 16:15:00
2021,12,21,15,55,310,3.6,7.7,NA,NA,NA,NA,NA,16,NA,12,8.7,NA,NA,2021-12-21 15:55:00
2021,12,21,15,35,NA,3.1,10.3,NA,NA,NA,NA,NA,16,NA,12,8.7,NA,NA,2021-12-21 15:35:00
2021,12,21,15,15,NA,2.6,5.1,NA,NA,NA,NA,NA,15,NA,13,4.3,NA,NA,2021-12-21 15:15:00
2021,12,21,14,55,NA,2.6,7.7,NA,NA,NA,NA,NA,16,NA,13,7,NA,NA,2021-12-21 14:55:00
2021,12,21,14,35,NA,2.6,10.8,NA,NA,NA,NA,NA,16,NA,13,6.1,NA,NA,2021-12-21 14:35:00
