"YY","MM","DD","hh","mm","WDIR","WSPD","GST","WVHT","DPD","APD","MWD","PRES","ATMP","WTMP","DEWP","VIS","PTDY","TIDE","Date"
2022,1,29,2,15,360,15.4,18.5,NA,NA,NA,NA,NA,11,NA,-3,8.7,NA,NA,2022-01-29 02:15:00
2022,1,29,1,50,10,13.9,16.5,NA,NA,NA,NA,NA,12,NA,-2,8.7,NA,NA,2022-01-29 01:50:00
2022,1,29,1,35,340,13.9,17.5,NA,NA,NA,NA,NA,12,NA,-1,8.7,NA,NA,2022-01-29 01:35:00
2022,1,29,1,15,350,15.4,NA,NA,NA,NA,NA,NA,12,NA,-1,8.7,NA,NA,2022-01-29 01:15:00
2022,1,29,0,55,360,14.4,17.5,NA,NA,NA,NA,NA,12,NA,-1,8.7,NA,NA,2022-01-29 00:55:00
2022,1,29,0,35,350,15.4,NA,NA,NA,NA,NA,NA,13,NA,0,8.7,NA,NA,2022-01-29 00:35:00
2022,1,29,0,15,340,14.9,NA,NA,NA,NA,NA,NA,12,NA,-2,8.7,NA,NA,2022-01-29 00:15:00
2022,1,28,23,55,330,11.3,NA,NA,NA,NA,NA,NA,12,NA,3,8.7,NA,NA,2022-01-28 23:55:00
2022,1,28,23,35,330,11.3,NA,NA,NA,NA,NA,NA,12,NA,3,0.4,NA,NA,2022-01-28 23:35:00
2022,1,28,23,15,320,9.8,NA,NA,NA,NA,NA,NA,11,NA,3,0.2,NA,NA,2022-01-28 23:15:00
2022,1,28,22,55,320,10.3,NA,NA,NA,NA,NA,NA,11,NA,3,8.7,NA,NA,2022-01-28 22:55:00
2022,1,28,22,35,330,10.8,NA,NA,NA,NA,NA,NA,11,NA,2,8.7,NA,NA,2022-01-28 22:35:00
2022,1,28,22,15,340,11.3,NA,NA,NA,NA,NA,NA,11,NA,2,8.7,NA,NA,2022-01-28 22:15:00
2022,1,28,21,55,340,11.8,15.4,NA,NA,NA,NA,NA,10,NA,2,8.7,NA,NA,2022-01-28 21:55:00
2022,1,28,21,35,340,12.9,16,NA,NA,NA,NA,NA,10,NA,3,8.7,NA,NA,2022-01-28 21:35:00
2022,1,28,21,15,350,12.4,16.5,NA,NA,NA,NA,NA,10,NA,2,8.7,NA,NA,2022-01-28 21:15:00
2022,1,28,20,55,340,12.4,NA,NA,NA,NA,NA,NA,10,NA,2,8.7,NA,NA,2022-01-28 20:55:00
2022,1,28,20,35,350,12.4,NA,NA,NA,NA,NA,NA,10,NA,2,8.7,NA,NA,2022-01-28 20:35:00
2022,1,28,20,10,350,12.9,16,NA,NA,NA,NA,NA,10,NA,2,8.7,NA,NA,2022-01-28 20:10:00
2022,1,28,19,55,340,12.9,15.4,NA,NA,NA,NA,NA,10,NA,2,8.7,NA,NA,2022-01-28 19:55:00
2022,1,28,19,35,350,13.4,17,NA,NA,NA,NA,NA,10,NA,3,8.7,NA,NA,2022-01-28 19:35:00
